Symbol	Name	Molecular weight
Mo	Molybdenum	42
Mt	Meitnerium	109
N	Nitrogen	7
Na	Sodium	11
Nb	Niobium	41
Nd	Neodymium	60
Ne	Neon	10
Ni	Nickel	28
No	Nobelium	102
Np	Neptunium	93
O	Oxygen	8
Os	Osmium	76
P	Phosphorus	15
Pa	Protactinium	91
Pb	Lead	82
Pd	Palladium	46
Pm	Promethium	61
Po	Polonium	84
Pr	Praseodymium	59
Pt	Platinum	78
Pu	Plutonium	94
Ra	Radium	88
Rb	Rubidium	37
Re	Rhenium	75
Rf	Rutherfordium	104
Rg	Roentgenium	111
Rh	Rhodium	45
Rn	Radon	86
Ru	Ruthenium	44
S	Sulfur	16
Sb	Antimony	51
Sc	Scandium	21
Se	Selenium	34
Sg	Seaborgium	106
Si	Silicon	14
Sm	Samarium	62
Sn	Tin	50
Sr	Strontium	38
Ta	Tantalum	73
Tb	Terbium	65
Tc	Technetium	43
Te	Tellurium	52
Th	Thorium	90
Ti	Titanium	22
Tl	Thallium	81
Tm	Thulium	69
U	Uranium	92
Uub	Ununbium	112
Uuh	Ununhexium	116
Uuo	Ununoctium	118
Uup	Ununpentium	115
Uuq	Ununquadium	114
Uus	Ununseptium	117
Uut	Ununtrium	113
