Gene	time-40	time-50	time-60	time-70
YAL001C	-0.07	-0.23	-0.1	0.03
YAL014C	0.215	0.09	0.025000002	-0.04
YAL016W	0.15	0.15	0.22	0.29
YAL020C	-0.35	-0.28	-0.215	-0.15
YAL022C	-0.415	-0.59	-0.58	-0.57
YAL036C	0.54	0.33	0.215	0.1
YAL038W	-0.625	-0.6	-0.4	-0.2
YAL039C	0.050000004	-0.24	-0.19	-0.14
YAL040C	0.335	0.05	-0.04	-0.13
YAL044C	-0.43	-0.46	-0.39	-0.32
YAL046C	0.135	0.23	0.125	0.02
YAL048C	0.005	0.02	-0.049999997	-0.12
YAL049C	-0.19999999	-0.32	-0.32	-0.32
YAL051W	0.155	0.2	0.22999999	0.26
YAL056W	-0.135	-0.25	-0.205	-0.16
YAL063C	0.42000002	0.43	0.325	0.22
YAL064W-B	0.099999994	0.07	-0.11	-0.29
YAL065C	-0.07	-0.12	0.075	0.27
YAR007C	1.26	1.53	0.71	-0.11
YAR009C	0.235	0.42	0.32	0.22
YAR020C	0.23500001	0.11	-0.055	-0.22
YAR035W	-0.055000003	-0.15	-0.120000005	-0.09
YAR043C	0.2	0.04	0.155	0.27
YAR052C	0.25	0.32	-0.02000001	-0.36
YAR060C	0.55	0.63	-0.099999994	-0.83
YAR070C	0	0	-0.15	-0.3
YAR075W	0.26	0.21	0.155	0.1
YBL003C	0.215	1.26	1.375	1.49
YBL005W	0.14999999	-0.02	0.205	0.43
YBL007C	-0.28	-0.21	-0.089999996	0.03
YBL008W	0.095	0.06	0.03	0
YBL009W	0.62	0.91	0.75	0.59
YBL011W	0.08500001	-0.1	-0.060000002	-0.02
YBL017C	-0.59	-0.7	-0.285	0.13
YBL027W	0.48000002	0.56	0.35	0.14
YBL029W	0.085	0.08	0.055	0.03
YBL031W	0.36499998	0.59	0.26999998	-0.05
YBL033C	0.315	0.09	-0.019999996	-0.13
YBL047C	-0.55	-0.55	-0.31	-0.07
YBL051C	1.115	1.12	0.22	-0.68
YBL052C	-0.285	0.14	0.23500001	0.33
YBL053W	0.315	0.56	0.48000002	0.4
YBL060W	0.125	0.11	-0.045	-0.2
YBL061C	0.92	0.93	0.245	-0.44
YBL063W	0.28	0.49	0.485	0.48
YBL066C	0.065	0.03	0.23	0.43
YBL075C	-0.755	-0.95	-0.585	-0.22
YBL077W	0.040000003	0.09	0.055	0.02
YBL079W	-0.060000002	-0.18	0.049999997	0.28
YBL084C	-0.185	-0.57	-0.505	-0.44
YBL088C	-0.315	-0.55	-0.345	-0.14
YBL097W	-0.15	-0.05	0.275	0.6
YBL099W	-0.83000004	-0.55	-0.17000002	0.21
YBL101C	0	-0.1	-0.08	-0.06
YBL101W-B	0.735	0.6	0.70500004	0.81
YBL103C	0.39999998	0.32	0.16499999	0.01
YBL105C	0.17	0.02	0.095	0.17
YBR008C	0.08	0.43	0.465	0.5
YBR014C	0.325	0.35	0.32999998	0.31
YBR016W	0.33499998	0.39	0.22999999	0.07
YBR030W	0.71500003	0.6	0.35000002	0.1
YBR032W	0.114999995	-0.03	0.095	0.22
YBR033W	0.015000001	-0.19	-0.305	-0.42
YBR038W	-2.31	-2.69	-1.5600001	-0.43
YBR048W	-0.21000001	-0.05	-0.010000001	0.03
YBR054W	-2.3200002	-3.16	-2.38	-1.6
YBR056W	-1.155	-0.99	-0.78	-0.57
YBR058C	0.345	0.23	0.14	0.05
YBR060C	0.405	0.5	0.37	0.24
YBR068C	-0.29999998	0.05	-0.42	-0.89
YBR070C	0.53499997	0.58	0.16499999	-0.25
YBR074W	-0.22999999	-0.29	-0.32999998	-0.37
YBR076W	0.03	0.03	-0.11	-0.25
YBR078W	-0.51	-0.38	-0.00999999	0.36
YBR080C	0.41	0.37	0.335	0.3
YBR081C	0.22999999	0.38	0.28	0.18
YBR082C	0.16499999	0.07	-0.015000001	-0.1
YBR084C-A	0.41	0.47	0.36	0.25
YBR085W	-0.615	-0.52	-0.35	-0.18
YBR087W	0.8	0.87	0.525	0.18
YBR089C-A	-0.17500001	-0.15	-0.59999996	-1.05
